"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50-budget",0.184394285714286,0.182375,0.186808571428571,0.217223571428571,0.217129285714286,0.2176875,0.181216428571429,0.182941785714286,0.179175714285714,500,"greedy","evaluation","L5","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C10-budget",0.225363571428571,0.229644285714286,0.226243214285714,0.266212142857143,0.266428571428571,0.267038214285714,0.219763928571429,0.224636785714286,0.228536428571429,500,"greedy","evaluation","L5","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C25-budget",0.194861428571429,0.196168928571428,0.193365,0.228581428571429,0.228747142857143,0.228716785714286,0.193040714285714,0.197068571428571,0.195372857142857,500,"greedy","evaluation","L5","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C5-budget",0.199820714285714,0.198547142857143,0.201470357142857,0.230070714285714,0.230076071428572,0.230078571428572,0.202024642857143,0.201038928571429,0.2003825,500,"greedy","evaluation","L5","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C50-budget",0.317906071428571,0.320595714285714,0.318216428571429,0.393154642857143,0.393321071428571,0.393395,0.277921071428571,0.307663928571429,0.304793571428571,500,"greedy","evaluation","L5","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10-budget",0.205453214285714,0.209101428571429,0.208199285714286,0.259034285714286,0.260970357142857,0.2613725,0.15992,0.209085357142857,0.205966785714286,500,"greedy","evaluation","L50","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25-budget",0.170200714285714,0.169875714285714,0.168082857142857,0.217310357142857,0.218624642857143,0.218211785714286,0.125496428571429,0.15954,0.1529325,500,"greedy","evaluation","L50","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5-budget",0.228762857142857,0.236603928571429,0.233582857142857,0.283097857142857,0.284727142857143,0.285691428571428,0.182623928571429,0.233343571428571,0.239043571428571,500,"greedy","evaluation","L50","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50-budget",0.20199,0.202883928571429,0.202158571428571,0.263634642857143,0.265539642857143,0.265568214285714,0.133514642857143,0.164199285714286,0.153818214285714,500,"greedy","evaluation","L50","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-relative-C10-budget",0.150841071428571,0.155912142857143,0.15599,0.184816785714286,0.186606071428571,0.1868125,0.123854285714286,0.155748214285714,0.156871071428571,500,"greedy","evaluation","L50","relative","C10","Berlin"
