instance,ea,vns
LGF-Berlin-100-80000-1-evaluation-none,0.201785714285714,0.228571428571429
LGF-Berlin-100-80000-2-evaluation-none,0.343396226415094,0.388679245283019
LGF-Berlin-100-80000-3-evaluation-none,0.216890595009597,0.255278310940499
LGF-Berlin-150-80000-1-evaluation-none,0.218978102189781,0.25669099756691
LGF-Berlin-150-80000-2-evaluation-none,0.224250325945241,0.242503259452412
LGF-Berlin-150-80000-3-evaluation-none,0.243964421855146,0.269377382465057
LGF-Berlin-50-80000-1-evaluation-none,0.257692307692308,0.257692307692308
LGF-Berlin-50-80000-2-evaluation-none,0.270175438596491,0.291228070175439
LGF-Berlin-50-80000-3-evaluation-none,0.342307692307692,0.361538461538462
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.692583303475457,0.711214618416338
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.964345778674739,0.967877564749411
LGF-gr48-gen4-80.oplib-4037-evaluation-none,0.941530524505589,0.941530524505589
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.899398108340499,0.904127257093723
LGF-Leipzig-100-80000-1-evaluation-none,0.854126679462572,0.879078694817658
LGF-Leipzig-100-80000-2-evaluation-none,0.811387900355872,0.825622775800712
LGF-Leipzig-100-80000-3-evaluation-none,0.885981308411215,0.902803738317757
LGF-Leipzig-150-80000-1-evaluation-none,0.724018475750577,0.771362586605081
LGF-Leipzig-150-80000-2-evaluation-none,0.67561260210035,0.728121353558926
LGF-Leipzig-150-80000-3-evaluation-none,0.737789203084833,0.769922879177378
LGF-Leipzig-50-80000-1-evaluation-none,0.992753623188406,0.992753623188406
LGF-Leipzig-50-80000-2-evaluation-none,0.975438596491228,0.975438596491228
LGF-Leipzig-50-80000-3-evaluation-none,0.95,0.95
