instance,ea,gsr,vns
LGF-Berlin-100-80000-1-time,0.957950431286508,0.916348075390946,1
LGF-Berlin-100-80000-2-time,0.961236538999445,0.889688622896362,1
LGF-Berlin-100-80000-3-time,0.925289063349476,0.951389572960411,1
LGF-Berlin-150-80000-1-time,0.918712655450172,0.87124650467512,1
LGF-Berlin-150-80000-2-time,0.950267415602311,0.920764274471666,1
LGF-Berlin-150-80000-3-time,0.982186146481756,0.918834758727985,1
LGF-Berlin-50-80000-1-time,0.999030648127807,0.973584240991562,1
LGF-Berlin-50-80000-2-time,0.939805204050954,0.96624233075548,1
LGF-Berlin-50-80000-3-time,0.982082816463082,0.918414733733295,1
LGF-brazil58-gen4-45.oplib-11428-time,0.987877929361333,0.977455140579464,1
LGF-gr120-gen4-85.oplib-5901-time,0.997987270399449,0.977845985027378,1
LGF-gr48-gen4-80.oplib-4037-time,0.99736897356718,0.978018515342991,1
LGF-hk48-gen4-80.oplib-9169-time,0.999563026984921,0.980388779547883,1
LGF-Leipzig-100-80000-1-time,0.981390482960621,0.967956368659915,1
LGF-Leipzig-100-80000-2-time,0.991675744842657,0.967183476602262,1
LGF-Leipzig-100-80000-3-time,0.983188114170051,0.950562781267699,1
LGF-Leipzig-150-80000-1-time,0.958426864113045,0.93148606604489,1
LGF-Leipzig-150-80000-2-time,0.950259027920085,0.9451597516109,1
LGF-Leipzig-150-80000-3-time,0.954818401284112,0.931809999318548,1
LGF-Leipzig-50-80000-1-time,0.999996763666319,0.989657383223226,1
LGF-Leipzig-50-80000-2-time,0.999999988008393,0.986235434094968,1
LGF-Leipzig-50-80000-3-time,0.99953929962213,0.98885493597844,1
mean,0.973575127577809,0.949960351450063,1
