instance,ea,gsr,vns
LGF-Berlin-100-80000-1-time,0.304666740016871,0.1991758104364,1
LGF-Berlin-100-80000-2-time,0,0.132433739762814,1
LGF-Berlin-100-80000-3-time,0,0.199313241765569,1
LGF-Berlin-150-80000-1-time,0,0.0302245365883005,1
LGF-Berlin-150-80000-2-time,0.0223835610410754,0.173379094889226,1
LGF-Berlin-150-80000-3-time,0.286625594582247,0.20010883878423,1
LGF-Berlin-50-80000-1-time,0.93821653715242,0.0999809979097701,1
LGF-Berlin-50-80000-2-time,0,0.566538516683394,1
LGF-Berlin-50-80000-3-time,0.290168033606721,0.1666099886644,1
LGF-brazil58-gen4-45.oplib-11428-time,0,0.234345280901142,1
LGF-gr120-gen4-85.oplib-5901-time,0.998183012332179,0.189243433006498,1
LGF-gr48-gen4-80.oplib-4037-time,0.999823297403805,0.13313040318198,1
LGF-hk48-gen4-80.oplib-9169-time,0.998953113487166,0.265695796117185,1
LGF-Leipzig-100-80000-1-time,0.0219660722053066,0.11878743266303,1
LGF-Leipzig-100-80000-2-time,0.278873549566621,0.0299895241844544,1
LGF-Leipzig-100-80000-3-time,0.107274668293427,0.0323589717519868,1
LGF-Leipzig-150-80000-1-time,0,0.0266272541040444,1
LGF-Leipzig-150-80000-2-time,0,0.126046811251879,1
LGF-Leipzig-150-80000-3-time,0,0,1
LGF-Leipzig-50-80000-1-time,0.9999966663333,0.166589992332567,1
LGF-Leipzig-50-80000-2-time,1,0.199483281661499,1
LGF-Leipzig-50-80000-3-time,0.999669862442684,0.499197999166319,1
mean,0.374854577657447,0.172239133900304,1
