instance,ea,gsr,vns
LGF-Berlin-100-80000-1-time,0.304596666666667,0.19913,0.99977
LGF-Berlin-100-80000-2-time,0,0.13233,0.999216666666667
LGF-Berlin-100-80000-3-time,0,0.199286666666667,0.999866666666667
LGF-Berlin-150-80000-1-time,0,0.0301433333333333,0.997313333333333
LGF-Berlin-150-80000-2-time,0.0169566666666666,0.131343333333333,0.75755
LGF-Berlin-150-80000-3-time,0.284416666666667,0.198566666666667,0.992293333333333
LGF-Berlin-50-80000-1-time,0.938113333333333,0.09997,0.99989
LGF-Berlin-50-80000-2-time,0,0.566366666666667,0.999696666666667
LGF-Berlin-50-80000-3-time,0.29011,0.166576666666667,0.9998
LGF-brazil58-gen4-45.oplib-11428-time,0,0.232453333333333,0.991926666666667
LGF-gr120-gen4-85.oplib-5901-time,0.998006666666667,0.18921,0.999823333333333
LGF-gr48-gen4-80.oplib-4037-time,0.99962,0.133103333333333,0.999796666666667
LGF-hk48-gen4-80.oplib-9169-time,0.998743333333333,0.26564,0.99979
LGF-Leipzig-100-80000-1-time,0.0218833333333333,0.11834,0.996233333333333
LGF-Leipzig-100-80000-2-time,0.27863,0.0299633333333333,0.999126666666667
LGF-Leipzig-100-80000-3-time,0.10551,0.0318266666666666,0.98355
LGF-Leipzig-150-80000-1-time,0,0.0224,0.841243333333333
LGF-Leipzig-150-80000-2-time,0,0.0156533333333333,0.124186666666667
LGF-Leipzig-150-80000-3-time,0,0,0.787146666666667
LGF-Leipzig-50-80000-1-time,0.999896666666667,0.166573333333334,0.9999
LGF-Leipzig-50-80000-2-time,0.9999,0.199463333333333,0.9999
LGF-Leipzig-50-80000-3-time,0.999253333333333,0.49899,0.999583333333333
mean,0.374347121212121,0.164878636363636,0.930345606060606
