instance,ea,gsr,vns
LGF-Berlin-100-80000-1-evaluation,0.200254078483245,0.191891534391534,0.226444003527337
LGF-Berlin-100-80000-2-evaluation,0.347567274976802,0.294939168986494,0.385361377461594
LGF-Berlin-100-80000-3-evaluation,0.218307450706683,0.221999069388705,0.252957599022858
LGF-Berlin-150-80000-1-evaluation,0.212654202416016,0.172151790668886,0.253583045204252
LGF-Berlin-150-80000-2-evaluation,0.209057026245678,0.180622319218487,0.239248530884492
LGF-Berlin-150-80000-3-evaluation,0.241422638955829,0.196598460617214,0.264835667723106
LGF-Berlin-50-80000-1-evaluation,0.253792370231395,0.247166979362101,0.256435272045028
LGF-Berlin-50-80000-2-evaluation,0.262281280759655,0.27731978461004,0.289785189045221
LGF-Berlin-50-80000-3-evaluation,0.345252602183295,0.326348692561564,0.35974105102818
LGF-brazil58-gen4-45.oplib-11428-evaluation,0.689395665819887,0.646244417115073,0.704302008924008
LGF-gr120-gen4-85.oplib-5901-evaluation,0.957272543127558,0.764764371052177,0.961943866808644
LGF-gr48-gen4-80.oplib-4037-evaluation,0.931397010720432,0.902858760460486,0.937110804360148
LGF-hk48-gen4-80.oplib-9169-evaluation,0.897067751005994,0.867937179530886,0.900136868168429
LGF-Leipzig-100-80000-1-evaluation,0.846929312516902,0.673242376872391,0.872824201410188
LGF-Leipzig-100-80000-2-evaluation,0.808306989179327,0.6492280410186,0.821613647175004
LGF-Leipzig-100-80000-3-evaluation,0.870587560639172,0.697108538305358,0.895371739433673
LGF-Leipzig-150-80000-1-evaluation,0.71318457865802,0.451326000575423,0.758860545407889
LGF-Leipzig-150-80000-2-evaluation,0.668140485876775,0.433555772808982,0.720345432947533
LGF-Leipzig-150-80000-3-evaluation,0.71674263906925,0.449005070716172,0.764432547990707
LGF-Leipzig-50-80000-1-evaluation,0.988474512743628,0.962495835415626,0.988474512743628
LGF-Leipzig-50-80000-2-evaluation,0.971197559115179,0.941376048817697,0.971197559115179
LGF-Leipzig-50-80000-3-evaluation,0.944994331065759,0.916667182024325,0.945886930529788
mean,0.604285448386204,0.521129427023555,0.625949654588949
