instance,ea,gsr,vns
LGF-Berlin-100-80000-1-bitVector,0.203177349064626,0.200529868197279,0.219193505527211
LGF-Berlin-100-80000-2-bitVector,0.352220449500555,0.319113947465779,0.35425846281909
LGF-Berlin-100-80000-3-bitVector,0.222263711975804,0.232210492642355,0.245637177921247
LGF-Berlin-150-80000-1-bitVector,0.215764840860088,0.1920873143038,0.227285027594802
LGF-Berlin-150-80000-2-bitVector,0.213362751980744,0.198155539954758,0.212297440354807
LGF-Berlin-150-80000-3-bitVector,0.24701464942888,0.217512084602301,0.235564026542425
LGF-Berlin-50-80000-1-bitVector,0.255067065942979,0.248874227961819,0.251344438205752
LGF-Berlin-50-80000-2-bitVector,0.26254679761605,0.279351688631467,0.288254288032682
LGF-Berlin-50-80000-3-bitVector,0.347469302997472,0.329374924762249,0.354212712170459
LGF-brazil58-gen4-45.oplib-11428-bitVector,0.691307541241306,0.676660819270912,0.695997035761153
LGF-gr120-gen4-85.oplib-5901-bitVector,0.943799271155162,0.908446523860724,0.939067406914276
LGF-gr48-gen4-80.oplib-4037-bitVector,0.92814174745039,0.917499891110638,0.92860974326782
LGF-hk48-gen4-80.oplib-9169-bitVector,0.892190968387197,0.882738951828282,0.891428515321914
LGF-Leipzig-100-80000-1-bitVector,0.839832140414575,0.770796261452493,0.85099617383521
LGF-Leipzig-100-80000-2-bitVector,0.803082448090923,0.724893800492837,0.805164357788802
LGF-Leipzig-100-80000-3-bitVector,0.859863194421348,0.783848811727882,0.862557843039434
LGF-Leipzig-150-80000-1-bitVector,0.702613079216184,0.581753576761496,0.694897034832059
LGF-Leipzig-150-80000-2-bitVector,0.6550124043873,0.546431425994687,0.666246022688763
LGF-Leipzig-150-80000-3-bitVector,0.706515682955106,0.57162548761432,0.710880760856603
LGF-Leipzig-50-80000-1-bitVector,0.990016210484929,0.980957312926814,0.981819481909034
LGF-Leipzig-50-80000-2-bitVector,0.971905150673996,0.959846332480633,0.969386237050745
LGF-Leipzig-50-80000-3-bitVector,0.94452608950557,0.936435737085533,0.945838056152694
mean,0.602167856715963,0.566324773687684,0.605951624935772
