instance,ea,vns,gsr,opt
LGF-Berlin-100-80000-1-ea-bitVector-high,0.230205756698603,0.243648049690921,0.242116789834539,250
LGF-Berlin-100-80000-1-ea-bitVector-low,0.197994452383209,0.224733270254476,0.209063845704474,250
LGF-Berlin-100-80000-1-greedy-bitVector-high,0.227583734961992,0.243583451111249,0.232427170288865,250
LGF-Berlin-100-80000-1-greedy-bitVector-low,0.200649909070975,0.22464205597227,0.206688100375834,250
LGF-Berlin-100-80000-1-gsr-bitVector-high,0.228383381700046,0.243526628166217,0.208663012015818,250
LGF-Berlin-100-80000-1-gsr-bitVector-low,0.203876904049514,0.224942627886351,0.182095099280887,250
LGF-Berlin-100-80000-1-random1-bitVector-high,0.231888708841235,0.243842825545102,0.216096919988365,250
LGF-Berlin-100-80000-1-random1-bitVector-low,0.205066863533129,0.224615029556224,0.18693511533501,250
LGF-Berlin-100-80000-1-random2-bitVector-high,0.231499360540539,0.243772265930186,0.216488749005463,250
LGF-Berlin-100-80000-1-random2-bitVector-low,0.200345984384197,0.224845625336996,0.200517923396652,250
LGF-Berlin-100-80000-2-ea-bitVector-high,0.371655948455783,0.387443295687508,0.369714046129686,250
LGF-Berlin-100-80000-2-ea-bitVector-low,0.38765071982934,0.392160231203591,0.386329883260866,250
LGF-Berlin-100-80000-2-greedy-bitVector-high,0.36781013587216,0.38582640475073,0.340712607099743,250
LGF-Berlin-100-80000-2-greedy-bitVector-low,0.359957867775482,0.391419469780262,0.358483929086449,250
LGF-Berlin-100-80000-2-gsr-bitVector-high,0.357785713175483,0.385650808031545,0.299117319950674,250
LGF-Berlin-100-80000-2-gsr-bitVector-low,0.36534129156464,0.393055760086216,0.253344768802809,250
LGF-Berlin-100-80000-2-random1-bitVector-high,0.351826845882221,0.386644329696512,0.323697484547467,250
LGF-Berlin-100-80000-2-random1-bitVector-low,0.364315118684296,0.39067084191452,0.344391312771254,250
LGF-Berlin-100-80000-2-random2-bitVector-high,0.353714975630028,0.389411734600017,0.349154550913262,250
LGF-Berlin-100-80000-2-random2-bitVector-low,0.359164520110998,0.393623158185237,0.36069154366485,250
LGF-Berlin-100-80000-3-ea-bitVector-high,0.257900654635347,0.260932548064002,0.254393348825081,250
LGF-Berlin-100-80000-3-ea-bitVector-low,0.258507493200656,0.270168521628888,0.267304410573641,250
LGF-Berlin-100-80000-3-greedy-bitVector-high,0.231101809051849,0.259881061673223,0.250074742473037,250
LGF-Berlin-100-80000-3-greedy-bitVector-low,0.243258388206186,0.270054274567261,0.255121408409133,250
LGF-Berlin-100-80000-3-gsr-bitVector-high,0.256056998041494,0.260058165562823,0.256716439439195,250
LGF-Berlin-100-80000-3-gsr-bitVector-low,0.267830331528746,0.270060795258406,0.270139176449285,250
LGF-Berlin-100-80000-3-random1-bitVector-high,0.231244217803649,0.259878822510776,0.238606335683729,250
LGF-Berlin-100-80000-3-random1-bitVector-low,0.237985579539787,0.270047026959358,0.241153200004409,250
LGF-Berlin-100-80000-3-random2-bitVector-high,0.2305311055157,0.259949580964378,0.241359068178173,250
LGF-Berlin-100-80000-3-random2-bitVector-low,0.242698261665166,0.269988049990889,0.245912110888036,250
LGF-Berlin-150-80000-1-ea-bitVector-high,0.229132980598046,0.246313087215526,0.224310681712095,250
LGF-Berlin-150-80000-1-ea-bitVector-low,0.23030555566902,0.251204848780207,0.235209886609826,250
LGF-Berlin-150-80000-1-greedy-bitVector-high,0.228644992315238,0.246074114339825,0.227784690448893,250
LGF-Berlin-150-80000-1-greedy-bitVector-low,0.225034825354804,0.248061557954137,0.222938986246164,250
LGF-Berlin-150-80000-1-gsr-bitVector-high,0.228641801687377,0.24660878698819,0.219629513591024,250
LGF-Berlin-150-80000-1-gsr-bitVector-low,0.224790485250935,0.249549436392656,0.209592490003156,250
LGF-Berlin-150-80000-1-random1-bitVector-high,0.233539279749971,0.246661112659292,0.198758037830284,250
LGF-Berlin-150-80000-1-random1-bitVector-low,0.218996432667262,0.245383695569441,0.204798215216108,250
