instance,ea,vns,gsr
LGF-Berlin-100-80000-1-ea-bitVector-high,0.929418477455426,1,0.984622238525422
LGF-Berlin-100-80000-1-ea-bitVector-low,0.883070542922312,1,0.931272301842501
LGF-Berlin-100-80000-1-greedy-bitVector-high,0.915901219923472,1,0.925031826641114
LGF-Berlin-100-80000-1-greedy-bitVector-low,0.892776940987584,1,0.897888349341222
LGF-Berlin-100-80000-1-gsr-bitVector-high,0.923657824810788,1,0.817339939692123
LGF-Berlin-100-80000-1-gsr-bitVector-low,0.890815834252523,1,0.806126620947725
LGF-Berlin-100-80000-1-random1-bitVector-high,0.934135312034708,1,0.870007756114237
LGF-Berlin-100-80000-1-random1-bitVector-low,0.905849334860091,1,0.825286141524516
LGF-Berlin-100-80000-1-random2-bitVector-high,0.943573803952919,1,0.867778794107512
LGF-Berlin-100-80000-1-random2-bitVector-low,0.891458034041485,1,0.874802771086028
LGF-Berlin-100-80000-2-ea-bitVector-high,0.971793597546455,1,0.968650740407517
LGF-Berlin-100-80000-2-ea-bitVector-low,0.990314140494631,1,0.989329428257177
LGF-Berlin-100-80000-2-greedy-bitVector-high,0.941632968585221,1,0.862434282237136
LGF-Berlin-100-80000-2-greedy-bitVector-low,0.916424039358965,1,0.891090615432387
LGF-Berlin-100-80000-2-gsr-bitVector-high,0.924079384540575,1,0.770041806544058
LGF-Berlin-100-80000-2-gsr-bitVector-low,0.932699624412081,1,0.6765500707353
LGF-Berlin-100-80000-2-random1-bitVector-high,0.909547738841695,1,0.80338490777859
LGF-Berlin-100-80000-2-random1-bitVector-low,0.91644408397715,1,0.841324181764679
LGF-Berlin-100-80000-2-random2-bitVector-high,0.912194777989075,1,0.866605839003679
LGF-Berlin-100-80000-2-random2-bitVector-low,0.906420852611804,1,0.878180616321633
LGF-Berlin-100-80000-3-ea-bitVector-high,0.969556770978093,1,0.969106157388355
LGF-Berlin-100-80000-3-ea-bitVector-low,0.949805877189197,1,0.979303115643422
LGF-Berlin-100-80000-3-greedy-bitVector-high,0.872458914590222,1,0.931200647541035
LGF-Berlin-100-80000-3-greedy-bitVector-low,0.902039647211507,1,0.927648680420863
LGF-Berlin-100-80000-3-gsr-bitVector-high,0.983717666838638,1,0.986863439517825
LGF-Berlin-100-80000-3-gsr-bitVector-low,0.98807969508807,1,0.99778368463717
LGF-Berlin-100-80000-3-random1-bitVector-high,0.873797457017123,1,0.881778026182572
LGF-Berlin-100-80000-3-random1-bitVector-low,0.877702194149639,1,0.881514906779969
LGF-Berlin-100-80000-3-random2-bitVector-high,0.879551432871744,1,0.890796057666113
LGF-Berlin-100-80000-3-random2-bitVector-low,0.894102817386742,1,0.892621987760372
LGF-Berlin-150-80000-1-ea-bitVector-high,0.934703065306758,1,0.93140912841626
LGF-Berlin-150-80000-1-ea-bitVector-low,0.916503403263321,1,0.935566745578414
LGF-Berlin-150-80000-1-greedy-bitVector-high,0.920769784655957,1,0.909370483405278
LGF-Berlin-150-80000-1-greedy-bitVector-low,0.922758232702352,1,0.920780375137242
LGF-Berlin-150-80000-1-gsr-bitVector-high,0.928706680110743,1,0.897389592853408
LGF-Berlin-150-80000-1-gsr-bitVector-low,0.911608440560575,1,0.869273379636741
LGF-Berlin-150-80000-1-random1-bitVector-high,0.947234812047705,1,0.787183346851379
LGF-Berlin-150-80000-1-random1-bitVector-low,0.901954920277751,1,0.801438090147251
LGF-Berlin-150-80000-1-random2-bitVector-high,0.911320179168174,1,0.795218405560011
LGF-Berlin-150-80000-1-random2-bitVector-low,0.92038607898959,1,0.764243337249956
LGF-Berlin-150-80000-2-ea-bitVector-high,0.994589779199476,0.998457204174295,1
LGF-Berlin-150-80000-2-ea-bitVector-low,0.987704478770392,0.971956151299126,1
LGF-Berlin-150-80000-2-greedy-bitVector-high,0.954613293402275,1,0.970013410498531
LGF-Berlin-150-80000-2-greedy-bitVector-low,0.928114350576093,1,0.98272403178926
LGF-Berlin-150-80000-2-gsr-bitVector-high,0.958408445335959,1,0.920479961886981
LGF-Berlin-150-80000-2-gsr-bitVector-low,0.937081181005041,1,0.90659427112802
LGF-Berlin-150-80000-2-random1-bitVector-high,0.962576956015039,1,0.85977473980222
LGF-Berlin-150-80000-2-random1-bitVector-low,0.946619036828967,1,0.845065313176169
LGF-Berlin-150-80000-2-random2-bitVector-high,0.965922038801778,1,0.768161190889965
LGF-Berlin-150-80000-2-random2-bitVector-low,0.992232307945292,1,0.863027803208188
LGF-Berlin-150-80000-3-ea-bitVector-high,0.968100501111248,1,0.966714021472078
LGF-Berlin-150-80000-3-ea-bitVector-low,0.989142555886256,1,0.959709815188842
LGF-Berlin-150-80000-3-greedy-bitVector-high,0.97805188402228,1,0.882423364122076
