instance,ea,vns,gsr,opt
LGF-Berlin-100-80000-1-ea-evaluation-high,0.211933327327745,0.239197697195662,0.217892516804759,500
LGF-Berlin-100-80000-1-ea-evaluation-low,0.212347079941581,0.242301291408054,0.220885879506816,500
LGF-Berlin-100-80000-1-greedy-evaluation-high,0.206941087702309,0.239065339188246,0.207159606086695,500
LGF-Berlin-100-80000-1-greedy-evaluation-low,0.212259197357127,0.242030216500704,0.209253408725068,500
LGF-Berlin-100-80000-1-gsr-evaluation-high,0.208388587263742,0.23917004646255,0.171387865254233,500
LGF-Berlin-100-80000-1-gsr-evaluation-low,0.211504462218975,0.242095810030089,0.182548068206494,500
LGF-Berlin-100-80000-1-random1-evaluation-high,0.212559401217948,0.238873598971787,0.183710434367718,500
LGF-Berlin-100-80000-1-random1-evaluation-low,0.212109546014896,0.241759123284971,0.202549293686959,500
LGF-Berlin-100-80000-1-random2-evaluation-high,0.208938156663677,0.238886492760483,0.185111423652476,500
LGF-Berlin-100-80000-1-random2-evaluation-low,0.206735826100999,0.241740999377657,0.202359881270714,500
LGF-Berlin-100-80000-2-ea-evaluation-high,0.337236846011694,0.347370025146925,0.328680248212181,500
LGF-Berlin-100-80000-2-ea-evaluation-low,0.375396739758541,0.391415350301649,0.370229083411556,500
LGF-Berlin-100-80000-2-greedy-evaluation-high,0.307991729228141,0.347372029381574,0.272516327776314,500
LGF-Berlin-100-80000-2-greedy-evaluation-low,0.349300321937653,0.391115262256749,0.317335412244051,500
LGF-Berlin-100-80000-2-gsr-evaluation-high,0.313094306467994,0.347069975777898,0.257084859279796,500
LGF-Berlin-100-80000-2-gsr-evaluation-low,0.360268789734907,0.391204738524272,0.284298186194837,500
LGF-Berlin-100-80000-2-random1-evaluation-high,0.303899811465555,0.347128312001516,0.270136398922557,500
LGF-Berlin-100-80000-2-random1-evaluation-low,0.342928203524726,0.390734539319284,0.292977744224927,500
LGF-Berlin-100-80000-2-random2-evaluation-high,0.305525872287593,0.346922759727484,0.282288877223178,500
LGF-Berlin-100-80000-2-random2-evaluation-low,0.340385078410668,0.390802308847484,0.308597630252148,500
LGF-Berlin-100-80000-3-ea-evaluation-high,0.245439406477412,0.265495146889776,0.253190973933794,500
LGF-Berlin-100-80000-3-ea-evaluation-low,0.237190286466471,0.252985732558409,0.240541026688362,500
LGF-Berlin-100-80000-3-greedy-evaluation-high,0.226936348894543,0.265344147079824,0.230335929025607,500
LGF-Berlin-100-80000-3-greedy-evaluation-low,0.221399644638697,0.252824931131836,0.227359804534851,500
LGF-Berlin-100-80000-3-gsr-evaluation-high,0.257599877914959,0.265601277872685,0.260445980792735,500
LGF-Berlin-100-80000-3-gsr-evaluation-low,0.248842293600524,0.253073746111723,0.249889422325546,500
LGF-Berlin-100-80000-3-random1-evaluation-high,0.227508131402727,0.265126681843036,0.2103467408394,500
LGF-Berlin-100-80000-3-random1-evaluation-low,0.217495276613708,0.252585321964076,0.209009374782936,500
LGF-Berlin-100-80000-3-random2-evaluation-high,0.226476620544076,0.26519974093512,0.221427359822062,500
LGF-Berlin-100-80000-3-random2-evaluation-low,0.216388420354493,0.252688240860573,0.213681809406162,500
LGF-Berlin-150-80000-1-ea-evaluation-high,0.22966843848892,0.256183377984015,0.233304744749779,500
LGF-Berlin-150-80000-1-ea-evaluation-low,0.223898646231767,0.258617673720246,0.218960402098586,500
LGF-Berlin-150-80000-1-greedy-evaluation-high,0.225373102593839,0.256065729794189,0.225458111428594,500
LGF-Berlin-150-80000-1-greedy-evaluation-low,0.226423650917942,0.258249353105164,0.221772555179081,500
LGF-Berlin-150-80000-1-gsr-evaluation-high,0.224926624806935,0.255945200928495,0.220688014908904,500
LGF-Berlin-150-80000-1-gsr-evaluation-low,0.226428252956954,0.258509516848053,0.219132530358179,500
LGF-Berlin-150-80000-1-random1-evaluation-high,0.228814850096208,0.256260744379832,0.189900537608059,500
LGF-Berlin-150-80000-1-random1-evaluation-low,0.225086693706915,0.257964199584398,0.171388926256644,500
LGF-Berlin-150-80000-1-random2-evaluation-high,0.224071884585931,0.255876950639758,0.210772691392976,500
LGF-Berlin-150-80000-1-random2-evaluation-low,0.226920026157655,0.258136485310984,0.178513897030207,500
LGF-Berlin-150-80000-2-ea-evaluation-high,0.223090584397782,0.245655853130033,0.232288520569244,500
LGF-Berlin-150-80000-2-ea-evaluation-low,0.230672544019695,0.243048693961478,0.233515205124653,500
LGF-Berlin-150-80000-2-greedy-evaluation-high,0.212468205590394,0.245783506497126,0.221957409710433,500
LGF-Berlin-150-80000-2-greedy-evaluation-low,0.210217350424764,0.242879036805883,0.221033324148573,500
LGF-Berlin-150-80000-2-gsr-evaluation-high,0.217880700612285,0.245039627832246,0.212811275707219,500
LGF-Berlin-150-80000-2-gsr-evaluation-low,0.219162841629686,0.243096434553211,0.214166623323424,500
LGF-Berlin-150-80000-2-random1-evaluation-high,0.214429469086115,0.245671108563091,0.175686599536211,500
LGF-Berlin-150-80000-2-random1-evaluation-low,0.214029980192318,0.242758183324784,0.189400489063009,500
LGF-Berlin-150-80000-2-random2-evaluation-high,0.224377267714008,0.245574453904923,0.179749276626342,500
LGF-Berlin-150-80000-2-random2-evaluation-low,0.223154898016078,0.242216075117445,0.181176831717438,500
LGF-Berlin-150-80000-3-ea-evaluation-high,0.233566144991574,0.25482203681501,0.231551058311526,500
LGF-Berlin-150-80000-3-ea-evaluation-low,0.24245928630404,0.260390063581217,0.245760625678498,500
LGF-Berlin-150-80000-3-greedy-evaluation-high,0.229836347370779,0.255182025256256,0.20108859306189,500
