instance,ea,vns,gsr
LGF-Berlin-50-80000-2-ea-bitVector-low,0.916573443591032,1,0.915923430257823
LGF-Berlin-50-80000-2-greedy-bitVector-high,0.903566569311459,1,0.991677614622254
LGF-Berlin-50-80000-2-greedy-bitVector-low,0.896706196455075,0.999915999297397,1
LGF-Berlin-50-80000-2-gsr-bitVector-high,0.996590790220265,1,0.995368347446341
LGF-Berlin-50-80000-2-gsr-bitVector-low,0.99998215336085,0.999636582786265,1
LGF-Berlin-50-80000-2-random1-bitVector-high,0.895773979035242,1,0.995360675489888
LGF-Berlin-50-80000-2-random1-bitVector-low,0.895802753636855,0.999621723992199,1
LGF-Berlin-50-80000-2-random2-bitVector-high,0.89309281659595,1,0.981233266860599
LGF-Berlin-50-80000-2-random2-bitVector-low,0.893075680469514,1,0.97150165178407
LGF-Berlin-50-80000-3-ea-bitVector-high,0.94195210771136,1,0.943354902252605
LGF-Berlin-50-80000-3-ea-bitVector-low,1,0.998843980657771,0.990013258429577
LGF-Berlin-50-80000-3-greedy-bitVector-high,0.927816891506327,1,0.931761965633759
LGF-Berlin-50-80000-3-greedy-bitVector-low,0.989731532668241,1,0.96609380417417
LGF-Berlin-50-80000-3-gsr-bitVector-high,0.93089715380706,1,0.932302868689578
LGF-Berlin-50-80000-3-gsr-bitVector-low,0.967206638113691,0.998544522132918,1
LGF-Berlin-50-80000-3-random1-bitVector-high,0.941510165133804,1,0.925753929018484
LGF-Berlin-50-80000-3-random1-bitVector-low,0.977556500088594,1,0.944819844980031
LGF-Berlin-50-80000-3-random2-bitVector-high,0.930467022597899,1,0.987008093290772
LGF-Berlin-50-80000-3-random2-bitVector-low,0.964881975418749,1,0.986482958894421
LGF-brazil58-gen4-45.oplib-11428-ea-bitVector-high,0.989733264784849,1,0.993134227432678
LGF-brazil58-gen4-45.oplib-11428-ea-bitVector-low,0.985506027387112,1,0.995946872675496
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-high,0.984799037321928,1,0.971441665445671
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-low,0.984547420294969,1,0.962122891471877
LGF-brazil58-gen4-45.oplib-11428-gsr-bitVector-high,0.991362233959,1,0.991374939146563
LGF-brazil58-gen4-45.oplib-11428-gsr-bitVector-low,0.995141309913046,1,0.995320566706928
LGF-brazil58-gen4-45.oplib-11428-random1-bitVector-high,0.979272703362285,1,0.957341808339017
LGF-brazil58-gen4-45.oplib-11428-random1-bitVector-low,0.974217313717851,1,0.967829246276932
LGF-brazil58-gen4-45.oplib-11428-random2-bitVector-high,0.976555178483357,1,0.956011656319384
LGF-brazil58-gen4-45.oplib-11428-random2-bitVector-low,0.972287781207875,1,0.947737667090864
LGF-gr120-gen4-85.oplib-5901-ea-bitVector-high,0.99077084615808,1,0.961414332172453
LGF-gr120-gen4-85.oplib-5901-ea-bitVector-low,0.99509800400716,1,0.963792567357517
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-high,0.993207823922971,1,0.95478222812187
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-low,0.99312371599626,1,0.953473664483821
LGF-gr120-gen4-85.oplib-5901-gsr-bitVector-high,0.999024558183662,1,0.973152661196123
LGF-gr120-gen4-85.oplib-5901-gsr-bitVector-low,0.998691670331646,1,0.974263031515944
LGF-gr120-gen4-85.oplib-5901-random1-bitVector-high,0.991833164520117,1,0.965034138868699
LGF-gr120-gen4-85.oplib-5901-random1-bitVector-low,0.988833454795227,1,0.96424619853713
LGF-gr120-gen4-85.oplib-5901-random2-bitVector-high,0.988474388721466,1,0.956648526833909
LGF-gr120-gen4-85.oplib-5901-random2-bitVector-low,0.986647200993422,1,0.955765191145337
LGF-gr48-gen4-80.oplib-4037-ea-bitVector-high,0.995047079097974,1,0.967303932258933
LGF-gr48-gen4-80.oplib-4037-ea-bitVector-low,0.996868136252295,1,0.970243926412564
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-high,0.996535730701957,1,0.976494950058314
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-low,0.994690938217915,1,0.976628780828212
