instance,ea,vns,gsr,opt
LGF-Berlin-100-80000-1-ea-bitVector-high,0.223831790118068,0.240829933498716,0.237126508225434,500
LGF-Berlin-100-80000-1-ea-bitVector-low,0.197110486970231,0.223210352275981,0.207869618559128,500
LGF-Berlin-100-80000-1-greedy-bitVector-high,0.220294426007224,0.240522035799484,0.222490538123036,500
LGF-Berlin-100-80000-1-greedy-bitVector-low,0.199750961269623,0.223741174417721,0.200894593777594,500
LGF-Berlin-100-80000-1-gsr-bitVector-high,0.222057644560034,0.240411155078476,0.196497638993155,500
LGF-Berlin-100-80000-1-gsr-bitVector-low,0.199873011000841,0.22437074344166,0.180871229250155,500
LGF-Berlin-100-80000-1-random1-bitVector-high,0.224448295780009,0.240273858496069,0.209040120483075,500
LGF-Berlin-100-80000-1-random1-bitVector-low,0.20180692232572,0.222781995371106,0.183858893360953,500
LGF-Berlin-100-80000-1-random2-bitVector-high,0.226590686040315,0.240140924950499,0.208389202269407,500
LGF-Berlin-100-80000-1-random2-bitVector-low,0.198924197804004,0.223144769812851,0.195207662985636,500
LGF-Berlin-100-80000-2-ea-bitVector-high,0.371860681181433,0.382653973148507,0.37065805441018,500
LGF-Berlin-100-80000-2-ea-bitVector-low,0.384634097390837,0.388396046933879,0.384251639050442,500
LGF-Berlin-100-80000-2-greedy-bitVector-high,0.358977425988595,0.381228608135874,0.328784621025925,500
LGF-Berlin-100-80000-2-greedy-bitVector-low,0.355318007196446,0.387722268225296,0.34549567460972,500
LGF-Berlin-100-80000-2-gsr-bitVector-high,0.351362370926677,0.380229639146602,0.292792718230045,500
LGF-Berlin-100-80000-2-gsr-bitVector-low,0.360710021898018,0.386737608182686,0.261647356171997,500
LGF-Berlin-100-80000-2-random1-bitVector-high,0.346619817090925,0.381090296076536,0.306162192368763,500
LGF-Berlin-100-80000-2-random1-bitVector-low,0.353934313202238,0.386203936923513,0.324922711226472,500
LGF-Berlin-100-80000-2-random2-bitVector-high,0.349013480083992,0.38260850479038,0.33157076430381,500
LGF-Berlin-100-80000-2-random2-bitVector-low,0.352510980937761,0.388904315166646,0.341528231183188,500
LGF-Berlin-100-80000-3-ea-bitVector-high,0.252989924573768,0.260933585475919,0.252872344354134,500
LGF-Berlin-100-80000-3-ea-bitVector-low,0.250776812622238,0.264029543978369,0.258564955039928,500
LGF-Berlin-100-80000-3-greedy-bitVector-high,0.226563700924874,0.259684091864987,0.241817994500781,500
LGF-Berlin-100-80000-3-greedy-bitVector-low,0.23757914899677,0.263379940927434,0.244324054650659,500
LGF-Berlin-100-80000-3-gsr-bitVector-high,0.257023327594425,0.261277535474602,0.257845247327207,500
LGF-Berlin-100-80000-3-gsr-bitVector-low,0.261824778210376,0.264983461872515,0.264396174955071,500
LGF-Berlin-100-80000-3-random1-bitVector-high,0.22681896745881,0.259578424768024,0.22889055103153,500
LGF-Berlin-100-80000-3-random1-bitVector-low,0.230994070233673,0.263180463457166,0.231997501710752,500
LGF-Berlin-100-80000-3-random2-bitVector-high,0.228051447111162,0.25928153668805,0.230966970707326,500
LGF-Berlin-100-80000-3-random2-bitVector-low,0.235275766776268,0.263141735157401,0.234886098698912,500
LGF-Berlin-150-80000-1-ea-bitVector-high,0.226042503268578,0.241833488792929,0.225245919018485,500
LGF-Berlin-150-80000-1-ea-bitVector-low,0.220754684259836,0.240866191520743,0.225346398920929,500
LGF-Berlin-150-80000-1-greedy-bitVector-high,0.22353233815241,0.242766804338538,0.220764966216091,500
LGF-Berlin-150-80000-1-greedy-bitVector-low,0.217381145468356,0.235577573587984,0.216915206582265,500
LGF-Berlin-150-80000-1-gsr-bitVector-high,0.225175112053185,0.242460958745698,0.217581941051648,500
LGF-Berlin-150-80000-1-gsr-bitVector-low,0.218101098654223,0.239248660883511,0.207972492019774,500
LGF-Berlin-150-80000-1-random1-bitVector-high,0.227228083210951,0.239885697105806,0.188834025909525,500
LGF-Berlin-150-80000-1-random1-bitVector-low,0.210470960145503,0.233349755529567,0.187015382407944,500
LGF-Berlin-150-80000-1-random2-bitVector-high,0.218649307297899,0.2399258924536,0.190793485649515,500
LGF-Berlin-150-80000-1-random2-bitVector-low,0.21749236420732,0.2363055778137,0.180594963399121,500
LGF-Berlin-150-80000-2-ea-bitVector-high,0.229844359943987,0.230738101098942,0.231094632933976,500
LGF-Berlin-150-80000-2-ea-bitVector-low,0.227104861577542,0.223483817219322,0.229931995307208,500
LGF-Berlin-150-80000-2-greedy-bitVector-high,0.217457862893363,0.22779680986668,0.220965960439464,500
LGF-Berlin-150-80000-2-greedy-bitVector-low,0.20575031475069,0.221686384466502,0.217856537535705,500
LGF-Berlin-150-80000-2-gsr-bitVector-high,0.222377101708798,0.232027485557941,0.213576651063106,500
LGF-Berlin-150-80000-2-gsr-bitVector-low,0.211045808815829,0.225216142521908,0.204179664575913,500
LGF-Berlin-150-80000-2-random1-bitVector-high,0.219019418074321,0.227534449797174,0.195628372370407,500
LGF-Berlin-150-80000-2-random1-bitVector-low,0.208968804409461,0.220752801580533,0.18655053540217,500
LGF-Berlin-150-80000-2-random2-bitVector-high,0.220674960801199,0.228460426345531,0.175494433172812,500
LGF-Berlin-150-80000-2-random2-bitVector-low,0.219424210083026,0.221141972828327,0.190851671007156,500
LGF-Berlin-150-80000-3-ea-bitVector-high,0.240389761034364,0.248310749512503,0.240045483235977,500
LGF-Berlin-150-80000-3-ea-bitVector-low,0.24247809520603,0.245139685642959,0.235262962403855,500
LGF-Berlin-150-80000-3-greedy-bitVector-high,0.238697227228152,0.244053747175968,0.215358728609616,500
