instance,ea,vns,gsr,opt
LGF-Berlin-100-80000-1-ea-evaluation-high,0.21883968561401,0.243722657810977,0.224095308636686,250
LGF-Berlin-100-80000-1-ea-evaluation-low,0.217492969009391,0.245932860866961,0.22595909374495,250
LGF-Berlin-100-80000-1-greedy-evaluation-high,0.214552936099479,0.243729378064526,0.222153597431308,250
LGF-Berlin-100-80000-1-greedy-evaluation-low,0.217388906730204,0.245645101745931,0.221788992939196,250
LGF-Berlin-100-80000-1-gsr-evaluation-high,0.217559161195455,0.243724623706646,0.168961003420838,250
LGF-Berlin-100-80000-1-gsr-evaluation-low,0.220161234829808,0.245541214684288,0.183451734956787,250
LGF-Berlin-100-80000-1-random1-evaluation-high,0.220067353005339,0.243711027777502,0.190869640174899,250
LGF-Berlin-100-80000-1-random1-evaluation-low,0.218952453516794,0.245461358431789,0.212518399301781,250
LGF-Berlin-100-80000-1-random2-evaluation-high,0.214563453944987,0.243724057112054,0.193460672227816,250
LGF-Berlin-100-80000-1-random2-evaluation-low,0.212879654415475,0.245432909950993,0.215677848900814,250
LGF-Berlin-100-80000-2-ea-evaluation-high,0.327513220083757,0.331979866414391,0.315694386800373,250
LGF-Berlin-100-80000-2-ea-evaluation-low,0.379444775705613,0.38863779920323,0.3728154699708,250
LGF-Berlin-100-80000-2-greedy-evaluation-high,0.299957056093646,0.332338926524687,0.277676653687746,250
LGF-Berlin-100-80000-2-greedy-evaluation-low,0.360137405838689,0.388676981804454,0.336090081045836,250
LGF-Berlin-100-80000-2-gsr-evaluation-high,0.309610809683492,0.331891102136739,0.25933973491667,250
LGF-Berlin-100-80000-2-gsr-evaluation-low,0.367687797151921,0.388667939371468,0.289040450343397,250
LGF-Berlin-100-80000-2-random1-evaluation-high,0.297934613780439,0.332584786251603,0.274825193166924,250
LGF-Berlin-100-80000-2-random1-evaluation-low,0.348811266269981,0.388510998484505,0.310561501276135,250
LGF-Berlin-100-80000-2-random2-evaluation-high,0.299282219357151,0.3325407950282,0.288778356607223,250
LGF-Berlin-100-80000-2-random2-evaluation-low,0.347534374558629,0.388665348373987,0.331138374662076,250
LGF-Berlin-100-80000-3-ea-evaluation-high,0.251988999527342,0.267729114387355,0.260319414811882,250
LGF-Berlin-100-80000-3-ea-evaluation-low,0.239451803300817,0.249072760875122,0.24131201039325,250
LGF-Berlin-100-80000-3-greedy-evaluation-high,0.23122613774786,0.267738742269058,0.243224257494689,250
LGF-Berlin-100-80000-3-greedy-evaluation-low,0.223612416644057,0.249072760875122,0.235538185745536,250
LGF-Berlin-100-80000-3-gsr-evaluation-high,0.259540389891242,0.267735572275984,0.263573492070413,250
LGF-Berlin-100-80000-3-gsr-evaluation-low,0.247333691144232,0.249072760875122,0.248417899261266,250
LGF-Berlin-100-80000-3-random1-evaluation-high,0.231139683590425,0.267728320331195,0.21916978288919,250
LGF-Berlin-100-80000-3-random1-evaluation-low,0.219166350346904,0.249072760875122,0.219710754554951,250
LGF-Berlin-100-80000-3-random2-evaluation-high,0.229666752834174,0.267724797636366,0.229715284964517,250
LGF-Berlin-100-80000-3-random2-evaluation-low,0.218093879625766,0.249072760875122,0.218113480222179,250
LGF-Berlin-150-80000-1-ea-evaluation-high,0.234644091431675,0.258292847619548,0.23514254656328,250
LGF-Berlin-150-80000-1-ea-evaluation-low,0.228690977327569,0.260369290413238,0.220157878729913,250
LGF-Berlin-150-80000-1-greedy-evaluation-high,0.231885458395417,0.258411669483146,0.233592693943414,250
LGF-Berlin-150-80000-1-greedy-evaluation-low,0.234904408168978,0.260597223528551,0.234209374380186,250
LGF-Berlin-150-80000-1-gsr-evaluation-high,0.228804053886493,0.258092427382084,0.226999362993725,250
LGF-Berlin-150-80000-1-gsr-evaluation-low,0.233567947794161,0.260563817065211,0.228257999274033,250
LGF-Berlin-150-80000-1-random1-evaluation-high,0.234672259984299,0.258798900498857,0.214438427909101,250
LGF-Berlin-150-80000-1-random1-evaluation-low,0.235618523429772,0.26054341439304,0.188981093250428,250
LGF-Berlin-150-80000-1-random2-evaluation-high,0.228845830825523,0.258499222677379,0.228148785631796,250
LGF-Berlin-150-80000-1-random2-evaluation-low,0.234436168515778,0.260481550060128,0.196278873090479,250
LGF-Berlin-150-80000-2-ea-evaluation-high,0.22132701912164,0.242623498786304,0.233911950571044,250
LGF-Berlin-150-80000-2-ea-evaluation-low,0.238005098010047,0.245304320382069,0.239371234276597,250
LGF-Berlin-150-80000-2-greedy-evaluation-high,0.215649940435134,0.242836490492715,0.228840700444725,250
LGF-Berlin-150-80000-2-greedy-evaluation-low,0.219022884301528,0.245049276143245,0.236141635049654,250
LGF-Berlin-150-80000-2-gsr-evaluation-high,0.215752381320487,0.242099095976857,0.20886450625772,250
LGF-Berlin-150-80000-2-gsr-evaluation-low,0.225654211262978,0.24505422009612,0.220729527849211,250
LGF-Berlin-150-80000-2-random1-evaluation-high,0.218162889513463,0.242847148777948,0.191143285186239,250
LGF-Berlin-150-80000-2-random1-evaluation-low,0.222034073204798,0.245040492996109,0.208777541623229,250
LGF-Berlin-150-80000-2-random2-evaluation-high,0.230926424988542,0.243119760677943,0.193490259204558,250
LGF-Berlin-150-80000-2-random2-evaluation-low,0.23230353825499,0.244653280144988,0.196600053060758,250
LGF-Berlin-150-80000-3-ea-evaluation-high,0.232391154741979,0.2506841306143,0.228016713438149,250
LGF-Berlin-150-80000-3-ea-evaluation-low,0.247324995957826,0.262862673869943,0.248618639137042,250
LGF-Berlin-150-80000-3-greedy-evaluation-high,0.234596306452071,0.251503123380731,0.202908357222634,250
